# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8799
#@/user_id	winK
duo shua 	多刷	c=1 d=1 t=503
duo xian cheng 	多線程	c=1 d=1 t=8136
duo zao 	多早	c=1 d=1 t=4291
e 	厄	c=1 d=1 t=5734
e 	額	c=2 d=1 t=5970
e 	鵝	c=1 d=1 t=5733
e e 	諤諤	c=1 d=1 t=3804
e wai 	額外	c=2 d=1.96079 t=2859
en 	恩	c=3 d=1 t=4816
en di 	恩滴	c=1 d=1 t=2099
er 	二	c=2 d=1.3396 t=505
er 	爾	c=2 d=1.99005 t=2124
er ci 	二次	c=0 d=0.1 t=1328
er ci yuan 	二次元	c=1 d=1 t=1329
er jin zhi 	二進制	c=1 d=1 t=7204
er qie 	而且	c=13 d=1.00003 t=7385
er shi 	二十	c=1 d=1 t=6765
er shou 	二手	c=1 d=1 t=6125
er yi 	而已	c=1 d=1 t=3963
fa 	法	c=3 d=1.79453 t=7992
fa 	發	c=13 d=1.8397 t=8548
fa bu 	發佈	c=2 d=1.99501 t=1546
fa bu hui 	發佈會	c=1 d=1 t=7888
fa chu 	發出	c=2 d=1.46533 t=699
fa dian 	發癲	c=1 d=1 t=734
fa guo 	發過	c=1 d=1 t=4260
fa ma 	發麻	c=1 d=1 t=6043
fa sheng 	發生	c=3 d=1.15774 t=7022
fa tie 	發帖	c=2 d=1.98511 t=5802
fa xian 	發現	c=7 d=1.00059 t=8211
fa xing 	發行	c=3 d=1.94361 t=2181
fan 	泛	c=5 d=1.00008 t=6758
fan 	煩	c=1 d=1 t=687
fan 	番	c=5 d=1.00119 t=7661
fan 	飯	c=26 d=23.7942 t=2849
fan er 	反而	c=0 d=0.1 t=2370
fan er fan er 	反而反而	c=1 d=1 t=2371
fan fu 	反覆	c=1 d=1 t=5913
fan qie 	番茄	c=1 d=1 t=6778
fan shi 	範式	c=1 d=1 t=8457
fan ti zi 	繁體字	c=1 d=1 t=6176
fan yi 	翻譯	c=8 d=1.00017 t=8535
fan zheng 	反正	c=8 d=1.02119 t=8413
fang 	房	c=1 d=1 t=1364
fang 	放	c=4 d=1.00622 t=8615
fang 	防	c=1 d=1 t=4839
fang an 	方案	c=5 d=1.66032 t=8226
fang fa 	方法	c=3 d=1.00013 t=4902
fang huo qiang 	防火牆	c=1 d=1 t=5999
fang jian 	房間	c=1 d=1 t=7494
fang jin 	放進	c=1 d=1 t=8579
fang ka 	房卡	c=1 d=1 t=2811
